code,year,gdp_per_capita
BDI,2003,999.6158
BDI,2004,1009.5892
BDI,2005,981.5332
BDI,2006,998.06946
BDI,2007,994.96356
BDI,2008,1001.6175
BDI,2009,988.19635
BDI,2010,991.0389
BDI,2011,994.6912
BDI,2012,1002.27454
BDI,2013,1014.5231
BDI,2014,1022.29156
BDI,2015,995.3191
BDI,2016,1009.636
BDI,2017,1023.9704
BDI,2018,1046.5951
BDI,2019,1057.9501
BDI,2020,1030.7703
BDI,2021,1035.5386
BDI,2022,1031.2542
BDI,2023,1036.1671
BDI,2024,1051.2593
KHM,1990,2646.098
KHM,1991,2731.3796
KHM,1992,2769.4883
KHM,1993,2714.5916
KHM,1994,1650.391
KHM,1995,1672.7393
KHM,1996,1643.0157
KHM,1997,1595.1713
KHM,1998,1602.3837
KHM,1999,1775.4124
KHM,2000,1922.0317
KHM,2001,2032.0809
KHM,2002,2126.3416
KHM,2003,2309.8394
KHM,2004,2491.3093
KHM,2005,2781.8904
KHM,2006,3041.1047
KHM,2007,3308.1575
KHM,2008,3501.9258
KHM,2009,3587.609
KHM,2010,3711.5376
KHM,2011,3921.979
KHM,2012,4159.1636
KHM,2013,4419.399
KHM,2014,4702.7305
KHM,2015,4968.5728
KHM,2016,5283.7295
KHM,2017,5632.0312
KHM,2018,6050.591
KHM,2019,6448.885
KHM,2020,6128.782
KHM,2021,6225.5327
KHM,2022,6458.368
KHM,2023,6695.292
KHM,2024,7008.889
CMR,1990,4517.6187
CMR,1991,4220.653
CMR,1992,3974.2776
CMR,1993,3556.3186
CMR,1994,3522.7488
CMR,1995,3526.5437
CMR,1996,3577.592
CMR,1997,3641.7075
CMR,1998,3714.132
CMR,1999,3780.0623
CMR,2000,3822.9443
CMR,2001,3884.873
CMR,2002,3951.4194
CMR,2003,4054.7812
CMR,2004,4222.9663
CMR,2005,4199.7227
CMR,2006,4241.5176
CMR,2007,4302.619
CMR,2008,4300.2666
CMR,2009,4286.577
CMR,2010,4286.583
CMR,2011,4307.852
CMR,2012,4382.1113
CMR,2013,4473.5723
CMR,2014,4588.4863
CMR,2015,4698.667
CMR,2016,4767.132
CMR,2017,4797.9756
CMR,2018,4851.48
CMR,2019,4882.3555
CMR,2020,4763.482
CMR,2021,4793.556
CMR,2022,4843.6504
CMR,2023,4875.251
CMR,2024,4916.9336
CAN,1990,40475.113
CAN,1991,39139.312
CAN,1992,39023.184
CAN,1993,39622.48
CAN,1994,40952.137
CAN,1995,41617.723
CAN,1996,41880.55
CAN,1997,43241.242
CAN,1998,44553.28
CAN,1999,46464.547
CAN,2000,48399.305
CAN,2001,48774.168
CAN,2002,49695.008
CAN,2003,50139.785
CAN,2004,51210.68
CAN,2005,52356.56
CAN,2006,53195.78
CAN,2007,53761.863
CAN,2008,53711.68
CAN,2009,51552.42
CAN,2010,52558.44
CAN,2011,53681.13
CAN,2012,54034.805
CAN,2013,54712.18
CAN,2014,55723.484
CAN,2015,55660.867
CAN,2016,55606.156
CAN,2017,56612.33
CAN,2018,57337.492
CAN,2019,57583.848
CAN,2020,54092.88
CAN,2021,56995.117
CAN,2022,58321.062
CAN,2023,57517.44
