code,year,child_mortality
ATG,1867,274.9
ATG,1868,272.7
ATG,1869,270.5
ATG,1870,268.3
ATG,1871,266.1
ATG,1872,264
ATG,1873,261.8
ATG,1874,259.7
ATG,1875,257.6
ATG,1876,255.5
ATG,1877,253.5
ATG,1878,251.4
ATG,1879,249.4
ATG,1880,247.4
ATG,1881,245.4
ATG,1882,243.4
ATG,1883,241.4
ATG,1884,239.4
ATG,1885,237.5
ATG,1886,235.6
ATG,1887,233.7
ATG,1888,231.8
ATG,1889,229.9
ATG,1890,228.1
ATG,1891,226.2
ATG,1892,224.4
ATG,1893,222.6
ATG,1894,220.8
ATG,1895,219
ATG,1896,217.2
ATG,1897,215.5
ATG,1898,213.7
ATG,1899,212
ATG,1900,210.3
ATG,1901,208.6
ATG,1902,206.9
ATG,1903,205.2
ATG,1904,203.6
ATG,1905,201.9
ATG,1906,200.3
ATG,1907,198.7
ATG,1908,197.1
ATG,1909,195.5
ATG,1910,193.9
ATG,1911,192.3
ATG,1912,190.8
ATG,1913,189.2
ATG,1914,187.7
ATG,1915,186.2
ATG,1916,184.7
ATG,1917,183.2
ATG,1918,181.7
ATG,1919,180.2
ATG,1920,178.8
ATG,1921,177.3
ATG,1922,175.9
ATG,1923,174.5
ATG,1924,173.1
ATG,1925,171.7
ATG,1926,170.3
ATG,1927,168.9
ATG,1928,167.5
ATG,1929,166.2
ATG,1930,164.8
ATG,1931,163.5
ATG,1932,162.2
ATG,1933,160.9
ATG,1934,159.6
ATG,1935,158.3
ATG,1936,157
ATG,1937,155.7
ATG,1938,154.5
ATG,1939,153.2
ATG,1940,152
ATG,1941,149.7
ATG,1942,147.5
ATG,1943,145.2
ATG,1944,143.1
ATG,1945,140.9
ATG,1946,138.8
ATG,1947,136.7
ATG,1948,134.6
ATG,1949,132.5
ATG,1950,130.5
ATG,1951,127.2
ATG,1952,122.7
ATG,1953,118.2
ATG,1954,113.6
ATG,1955,109
ATG,1956,105
ATG,1957,100.3
ATG,1958,95.72
ATG,1959,91.26
ATG,1960,87.45
ATG,1961,83.25
ATG,1962,79.65
ATG,1963,76.18
ATG,1964,72.78
ATG,1965,69.91
ATG,1966,66.69
ATG,1967,63.53
ATG,1968,60.97
ATG,1969,58.16
ATG,1970,55.87
ATG,1971,53.73
ATG,1972,51.35
ATG,1973,49.44
ATG,1974,47.58
ATG,1975,45.77
ATG,1976,43.98
ATG,1977,42.22
ATG,1978,40.83
ATG,1979,39.16
ATG,1980,37.53
ATG,1981,36.01
ATG,1982,34.55
ATG,1983,33.16
ATG,1984,31.83
ATG,1985,30.54
ATG,1986,29.32
ATG,1987,28.14
ATG,1988,27.01
ATG,1989,25.93
ATG,1990,25.5
ATG,1991,24.2
ATG,1992,23.1
ATG,1993,21.9
ATG,1994,20.8
ATG,1995,19.7
ATG,1996,18.8
ATG,1997,17.9
ATG,1998,17
ATG,1999,16.2
ATG,2000,15.5
ATG,2001,14.8
ATG,2002,14.1
ATG,2003,13.5
ATG,2004,12.9
ATG,2005,12.4
ATG,2006,11.8
ATG,2007,11.3
ATG,2008,10.9
ATG,2009,10.4
ATG,2010,9.9
ATG,2011,9.5
ATG,2012,9.1
ATG,2013,8.7
ATG,2014,8.4
ATG,2015,8.1
ARG,1800,402.2
ARG,1801,402.2
ARG,1802,402.2
ARG,1803,402.2
ARG,1804,402.2
ARG,1805,402.2
ARG,1806,402.2
ARG,1807,402.2
ARG,1808,402.2
ARG,1809,402.2
ARG,1810,402.2
ARG,1811,402.2
ARG,1812,402.2
ARG,1813,402.2
ARG,1814,402.2
ARG,1815,402.2
ARG,1816,402.2
ARG,1817,402.2
ARG,1818,402.2
ARG,1819,402.2
ARG,1820,402.2
ARG,1821,402.2
ARG,1822,402.2
ARG,1823,402.2
ARG,1824,402.2
ARG,1825,402.2
ARG,1826,402.2
